actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year
"陈奕迅,李荣浩,李一桐,陈国坤,崔志佳,许绍雄,刘浩龙,田启文,克里斯·柯林斯,马志威,李聪",2018-01-12(中国大陆),谷德昭,26984538,汉语普通话,3.6,13482,中国大陆 / 香港,98分钟,卧底巨星,"喜剧,动作",2018
"马伊琍,富大龙,马敬涵,王子文,姚安濂,焦晃,刘宸,周中和,杨哲,王春子,董飞,刘立伟,刘佩琦","2019-05-10(中国大陆),2018-06-17(上海电影节)",胡玫,26773625,汉语普通话 / 英语,6.9,2289,中国大陆,113分钟,进京城,"剧情,历史,古装",2018
"伊莎贝尔·于佩尔,科洛·莫瑞兹,麦卡·梦露,简·佩里,杰夫·西勒,帕克·索耶,布兰登·李·西尔斯,阿瑟·李,罗莎·埃斯科达,撒迪厄斯·丹尼尔斯,科鲁姆·费奥瑞,扎威·阿什顿,斯蒂芬·瑞","2018-09-07(多伦多电影节),2019-03-01(美国)",尼尔·乔丹,24523813,英语,6.0,3600,爱尔兰 / 美国,98分钟,遗孀秘闻 Greta,"剧情,悬疑",2018
"杰米·李·柯蒂斯,朱迪·格雷尔,安迪·马蒂切克,詹姆斯·裘德·柯特尼,尼克·卡斯特尔,哈鲁克·比尔根纳尔,威尔·帕顿,里安·里斯,杰佛逊·豪尔,托比·胡斯,维吉尼亚·加德纳,迪伦·阿诺德,迈尔斯·罗宾斯,德鲁·谢伊德,吉布瑞尔·南谭布,迈克尔·哈瑞蒂,马修·安德森,奥马尔·J·多尔西,克里斯托弗· 艾伦·尼尔森,P·J·索尔丝,桑迪·约翰逊,乔恩·埃里克·海克瑟姆,梅诺·佩卢斯,杰瑞德·莫泽,罗布·尼特","2018-09-08(多伦多电影节),2018-10-19(美国)",大卫·戈登·格林,4017146,英语,5.9,15153,美国,106分钟,月光光心慌慌 Halloween,"惊悚,恐怖",2018
"筱原凉子,广濑铃,板谷由夏,小池荣子,友坂理惠,渡边直美,池田依来沙,山本舞香,野田美櫻,田边桃子,富田望生,三浦春马,中川雅也,新井浩文,矢本悠马",2018-08-31(日本),大根仁,27160618,日语,8.3,17953,日本,119分钟,阳光姐妹淘 SUNNY 強い気持ち・強い愛,"剧情,喜剧,歌舞",2018
"杰森·贝特曼,瑞秋·麦克亚当斯,凯尔·钱德勒, 莎朗·豪根,比利·马格努森,拉蒙尼·莫里斯,凯莉·班伯里,杰西·普莱蒙,迈克尔·C·豪尔,丹尼·赫斯顿,切尔西·帕瑞蒂,卡米利·陈,泽瑞克·威廉姆斯,约书亚·米克尔,R·F·戴利",2018-02-23(美国),"约翰·弗朗西斯·戴利,乔纳森·M·戈尔茨坦",26949241,英语,7.1,38392,美国,100分钟,游戏之夜 Game Night,"喜剧,悬疑,犯罪",2018
"赵立新,凌潇肃,王嘉,董琦,马梦唯,寇世勋,王劲松,多布杰,杨轶,王蔚,贺宽,海一天",2018-12-18(中国大陆),刘亚当,30293828,汉语普通话 / 英语,4.1,6947,中国大陆,123分钟,中国合伙人2,剧情,2018
"克林特·伊斯特伍德,Patrick L. Reyes,Cesar De León,Gustavo Muñoz,Jackie Prucha,理查德·赫德,Adam Drescher,Christi McClintock,Keith Flippen,艾莉森·伊斯特伍德,黛安·韦斯特,乔·奈泽维奇,泰莎·法米加,维克多·罗塞克,罗伯特·拉萨多,劳伦斯·菲什伯恩,布莱德利·库珀,迈克尔·佩纳,尤金·科德罗,诺尔·古格雷米,安迪·加西亚,小克利夫顿·克林斯,丹尼尔·蒙卡达,伊格纳西奥·塞利齐奥,保罗·阿拉约,卡里姆·J.格里梅斯,迭戈·卡塔诺,迪伦·库斯曼,皮特·布里斯,劳恩·迪恩,曼尼·蒙塔纳,洛博·塞巴斯蒂安,泰丝·马里斯·金凯德,贝琪·阿尔特林格,蒂莫西·卡尔,吉尔·弗林特,凯蒂·吉尔,杰伦·戈登,杰伊·古铁雷斯,塞西尔·M·亨利,雷·埃尔南德斯,肖恩·麦克米伦,德文·奥格登,帕蒂·舍尔哈斯",2018-12-14(美国),克林特·伊斯特伍德,30135113,英语,8.1,26391,美国,116分钟,骡子 The Mule,"剧情,悬疑,惊悚,犯罪",2018
"梁朝伟,吴亦凡,唐嫣,杜鹃,林子祥,华栖龙,雅各布 格拉夫,元秋,刘家勇,罗莽,谢婷婷,周小飞,林德信,陈语安,黎烈弓,杰佳·亚宁",2018-08-17(中国大陆),马楚成,26351812,粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语,3.5,50765,中国大陆 / 英国,100分钟,欧洲攻略,"喜剧,动作,爱情",2018
"伊万·卡马拉斯,加布里瑞拉·哈默里,佐兰·马克兰兹,乔鲍·马顿,保罗‧贝兰托尼,马特·戴维尔,卡塔琳‧东比,亨利‧格兰特,彼得·林卡,马泰‧梅萨罗什,加博尔·纳吉帕尔,维吉尼亚‧普罗德","2018-08-09(洛迦诺电影节),2018-11-15(匈牙利)",米洛拉德·科斯蒂奇,30272143,英语 / 匈牙利语,8.4,17561,匈牙利,94分钟,"盗梦特攻队 Ruben Brandt, a gyüjtö","动画,犯罪",2018
"郭京飞,迪丽热巴,大鹏,包贝尔,刘芮麟,王厂长,张钟仪,榕榕,张杨智子",2018-04-20(中国大陆),何念,26691361,汉语普通话,4.6,42354,中国大陆,96分钟,21克拉,"喜剧,爱情",2018
"井柏然,宋佳,马思纯,秦昊,陈妍希,张颂文,陈冠希,颜卓灵,王维申,胡伶,黄伊凡,陈伟榕,单宝中,梁致力,罗义民","2019-04-04(中国大陆),2018-11-09(台北金马影展)",娄烨,26728669,汉语普通话 / 粤语,7.2,235121,中国大陆,124分钟(中国大陆),风中有朵雨做的云,"剧情,悬疑,犯罪",2018
"梁朝伟,白百何,井柏然,李宇春,杨祐宁,大鹏,吴君如,曾志伟,黄磊,柳岩,吴莫愁,伍嘉成,赵磊,谷嘉诚,彭楚粤,陈泽希,郭子凡,肖战,焉栩嘉,夏之光,姜超,娄艺潇,张俪",2018-02-16(中国大陆),许诚毅,26575103,汉语普通话,5.0,218397,中国大陆 / 香港,110分钟,捉妖记2,"喜剧,奇幻",2018
"雅利扎·阿巴里西奥,玛丽娜·德·塔维拉,迭戈·科蒂娜·奥特里,卡洛斯·佩拉尔塔,马科·格拉夫,丹妮拉·德米萨,南茜·加西亚,维罗妮卡·加西亚,安迪·科特斯,费尔南多·格雷迪亚加,豪尔赫·安东尼奥·格雷罗,拉丁·洛弗","2019-05-10(中国大陆),2018-08-30(威尼斯电影节),2018-12-14(美国)",阿方索·卡隆,1950330,西班牙语 / 米斯特克语 / 英语,8.2,78962,墨西哥 / 美国,135分钟,罗马 Roma,"剧情,家庭",2018
